"name","exit","verdict","score","RED","YEL","metrics"
"宁德时代","0","YELLOW","5.2","0","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"德福科技","2","RED","0","1","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"牧原股份","0","YELLOW","4.8","0","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"温氏股份","2","RED","3.8","0","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"澜起科技","0","YELLOW","5.6","0","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"盛科通信","2","RED","0","1","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"三环集团","0","YELLOW","6","0","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"鼎泰高科","2","RED","3.9","0","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"华正新材","2","RED","0","1","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"生益科技","0","YELLOW","5.9","0","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"铜冠铜箔","2","RED","0","1","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"风华高科","2","RED","0","1","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"国际复材","2","RED","0","1","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
"中国巨石","0","YELLOW","5.4","0","1","ROE=N/A GM=N/A NM=N/A OCF/NI=N/A Debt=N/A PE=N/A RevG=N/A EarnG=N/A"
