"name","pass","fail","warn","nogo","conclusion","critical","important","normal"
"三环集团","8","3","1","NO","✅ 放行","- 🔴 CRITICAL：**0 / 2 未通过**  ✅","- 🟠 IMPORTANT：**3 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"中国巨石","9","2","1","NO","✅ 放行","- 🔴 CRITICAL：**0 / 2 未通过**  ✅","- 🟠 IMPORTANT：**2 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"华正新材","6","5","1","NO","⚠️ 有条件放行（见备注）","- 🔴 CRITICAL：**1 / 2 未通过**  ✅","- 🟠 IMPORTANT：**4 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"国际复材","6","5","1","NO","⚠️ 有条件放行（见备注）","- 🔴 CRITICAL：**1 / 2 未通过**  ✅","- 🟠 IMPORTANT：**4 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"宁德时代","9","2","1","NO","✅ 放行","- 🔴 CRITICAL：**0 / 2 未通过**  ✅","- 🟠 IMPORTANT：**2 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"德福科技","4","7","1","YES","🚫 暂缓发布","- 🔴 CRITICAL：**2 / 2 未通过**  🚨（>1，需修正）","- 🟠 IMPORTANT：**5 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"温氏股份","9","2","1","NO","✅ 放行","- 🔴 CRITICAL：**0 / 2 未通过**  ✅","- 🟠 IMPORTANT：**1 / 7 未通过** ✅","- ⚪️ NORMAL：**1 / 3 未通过** ✅"
"澜起科技","8","3","1","NO","⚠️ 有条件放行（见备注）","- 🔴 CRITICAL：**1 / 2 未通过**  ✅","- 🟠 IMPORTANT：**1 / 7 未通过** ✅","- ⚪️ NORMAL：**1 / 3 未通过** ✅"
"牧原股份","9","2","1","NO","⚠️ 有条件放行（见备注）","- 🔴 CRITICAL：**1 / 2 未通过**  ✅","- 🟠 IMPORTANT：**1 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"生益科技","10","1","1","NO","✅ 放行","- 🔴 CRITICAL：**0 / 2 未通过**  ✅","- 🟠 IMPORTANT：**1 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"盛科通信","6","4","2","YES","🚫 暂缓发布","- 🔴 CRITICAL：**1 / 2 未通过**  ✅","- 🟠 IMPORTANT：**3 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"铜冠铜箔","6","5","1","YES","🚫 暂缓发布","- 🔴 CRITICAL：**2 / 2 未通过**  🚨（>1，需修正）","- 🟠 IMPORTANT：**3 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"风华高科","7","4","1","NO","✅ 放行","- 🔴 CRITICAL：**0 / 2 未通过**  ✅","- 🟠 IMPORTANT：**4 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
"鼎泰高科","8","3","1","NO","⚠️ 有条件放行（见备注）","- 🔴 CRITICAL：**1 / 2 未通过**  ✅","- 🟠 IMPORTANT：**2 / 7 未通过** ✅","- ⚪️ NORMAL：**0 / 3 未通过** ✅"
