"name","exit","outFile"
"宁德时代","0","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\宁德时代-quality-screen.txt"
"德福科技","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\德福科技-quality-screen.txt"
"牧原股份","0","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\牧原股份-quality-screen.txt"
"温氏股份","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\温氏股份-quality-screen.txt"
"澜起科技","0","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\澜起科技-quality-screen.txt"
"盛科通信","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\盛科通信-quality-screen.txt"
"三环集团","0","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\三环集团-quality-screen.txt"
"鼎泰高科","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\鼎泰高科-quality-screen.txt"
"华正新材","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\华正新材-quality-screen.txt"
"生益科技","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\生益科技-quality-screen.txt"
"铜冠铜箔","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\铜冠铜箔-quality-screen.txt"
"风华高科","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\风华高科-quality-screen.txt"
"国际复材","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\国际复材-quality-screen.txt"
"中国巨石","2","Research\00-Workspace\06-Process-Improvement\batch-runs\20260816\中国巨石-quality-screen.txt"
