"name","rep_roe","rep_gm","rep_ocfni","rep_debt","rep_revg","rep_earng","cor_roe","cor_gm","cor_ocfni","cor_debt","cor_revg","cor_earng","diffs"
"三环集团",,,"1.1",,,,"12.09","42.14","1.1","18.27","22.13","19.54",""
"中国巨石",,,"1.23",,,,"10.09","33.12","1.28","40.41","19.08","34.38",""
"华正新材",,,"1.27",,,,"15.81","13.07","1.28","72.36","13.05","-384.01",""
"国际复材",,,,,,,"2.95","18.74","6.35","59.55","17.6","-176.99",""
"宁德时代",,,,,,,"24.91","26.27","1.84","61.94","17","42.3",""
"德福科技",,,"-1.55",,,,"2.11","7.12","-3.39","72.76","59.33","-145.91","ocfni=1.84"
"温氏股份",,,"2.24",,,,"24.59","17.25","2.24","53.28","16.68","244.46",""
"澜起科技",,,"0.95",,,,"17.37","62.23","0.9","6.38","49.94","58.35",""
"牧原股份",,,"1.9",,,,"20.57","17.82","1.9","54.15","4.49","-13.39",""
"生益科技",,,,,,,"17.63","26.47","1.58","42.29","39.45","91.75",""
"盛科通信",,,"-1.25",,,,,"49.21","-1.25","11.95","6.35","119.65",""
"铜冠铜箔",,,"-2.74",,,,"1.16","3.55","-2.74","29.59","41.75","-140.07",""
"风华高科",,,"1",,,,"2.24","17.75","1.5","23.63","16.54","-16.02","ocfni=-0.5"
"鼎泰高科",,,"0.67",,,,"16.37","42.34","0.67","41.63","35.7","91.14",""
