thscode,name,industry,pool,score,verdict,roe,gross_margin,net_margin,ocf_to_ni,debt_ratio,revenue_yoy,net_profit_yoy,pe_ttm,pb_mrq,market_cap_yi,price,change_pct,red_flags,yellow_flags,green_highlights,reason,high_leverage_note
600000.SH,浦发银行,银行Ⅱ,exclude,3.3,RED,0.0676,,0.289744,7.51416518,0.9182250000000001,0.01883477,0.1051771,6.027906,0.402046,3030.8312853,9.1,-0.87,资产负债率 91.8%，超过 70% 高杠杆红线,ROE 6.8%，低于 10% 良好线;毛利率数据缺失,净利率 29.0%，出色的费用控制或定价权;经营现金流/净利润 7.51，高含金量利润;PE(TTM) 6.0 < 15，估值有一定吸引力,RED（红牌≥2 或综合分<4.5）,1
600004.SH,白云机场,航空机场,watch,6.9,YELLOW,0.0745,0.253203,0.19027899999999998,2.09404503,0.281995,0.0715832,0.58595099,14.384543,0.910056,192.77789593,7.48,-0.66,,ROE 7.4%，低于 10% 良好线,经营现金流/净利润 2.09，高含金量利润;资产负债率仅 28.2%，财务结构稳健;PE(TTM) 14.4 < 15，估值有一定吸引力;净利增长 58.6%，利润增长强劲,,
600007.SH,中国国贸,房地产开发,watch,6.2,YELLOW,0.1264,0.577215,0.319107,1.3100604100000002,0.14849,-0.0363002,-0.04760286,15.526277,1.847659,185.74289927,18.44,0.71,,营收同比 -3.6%，负增长;净利同比 -4.8%，利润下滑,高毛利率 57.7%，通常意味差异化/护城河;净利率 31.9%，出色的费用控制或定价权;经营现金流/净利润 1.31，高含金量利润;资产负债率仅 14.8%，财务结构稳健,,
600008.SH,首创环保,环境治理,exclude,2.2,RED,0.057300000000000004,0.36678,0.11932000000000001,2.12293321,0.637598,-0.05807466,-0.49777552999999997,11.443653,0.974361,206.27059802,2.81,-1.06,净利同比下降 -49.8%，严重恶化,ROE 5.7%，低于 10% 良好线;资产负债率 63.8%，超过 50%，杠杆偏高;营收同比 -5.8%，负增长,经营现金流/净利润 2.12，高含金量利润;PE(TTM) 11.4 < 15，估值有一定吸引力,RED（红牌≥2 或综合分<4.5）,
600009.SH,上海机场,航空机场,watch,6.2,YELLOW,0.050300000000000004,0.27514299999999997,0.180619,2.82587026,0.378627,0.07902042,0.0945353,26.443335,1.334001,575.29797485,23.12,-1.24,,ROE 5.0%，低于 10% 良好线,经营现金流/净利润 2.83，高含金量利润,,
600011.SH,华能国际,电力,watch,5.3,YELLOW,0.19039999999999999,0.184473,0.085068,4.66446782,0.652629,-0.06623011,0.42169233,7.713312,1.532665,1073.74958576,6.84,-1.16,,毛利率 18.4%，低于 20%（弱护城河风险）;资产负债率 65.3%，超过 50%，杠杆偏高;营收同比 -6.6%，负增长,经营现金流/净利润 4.66，高含金量利润;PE(TTM) 7.7 < 15，估值有一定吸引力;净利增长 42.2%，利润增长强劲,,
600012.SH,皖通高速,铁路公路,exclude,4.1,RED,0.1401,0.44502600000000003,0.27662600000000004,1.8852723,0.532856,-0.12684863,-0.01569518,14.813685,2.065832,275.93759007,16.15,-2,营收同比下降 -12.7%，大幅萎缩,资产负债率 53.3%，超过 50%，杠杆偏高;净利同比 -1.6%，利润下滑,高毛利率 44.5%，通常意味差异化/护城河;净利率 27.7%，出色的费用控制或定价权;经营现金流/净利润 1.89，高含金量利润;PE(TTM) 14.8 < 15，估值有一定吸引力,RED（红牌≥2 或综合分<4.5）,
600015.SH,华夏银行,银行Ⅱ,exclude,1.7999999999999998,RED,0.0832,,0.30192399999999997,2.5390808799999998,0.915612,-0.05385708,-0.01719902,3.878398,0.327341,1051.97677173,6.61,-0.75,资产负债率 91.6%，超过 70% 高杠杆红线,ROE 8.3%，低于 10% 良好线;毛利率数据缺失;营收同比 -5.4%，负增长;净利同比 -1.7%，利润下滑,净利率 30.2%，出色的费用控制或定价权;经营现金流/净利润 2.54，高含金量利润;PE(TTM) 3.9 < 15，估值有一定吸引力,RED（红牌≥2 或综合分<4.5）,1
600016.SH,民生银行,银行Ⅱ,exclude,0,RED,0.0493,,0.21406199999999997,-5.15250466,0.910221,0.048242719999999996,-0.0536599,5.104342,0.260186,1497.35871277,3.42,-1.44,ROE 仅 4.9%，低于 5% 资本回报红线;经营现金流/净利润仅 -5.15，低于 0.5（严重盈利质量隐患）;资产负债率 91.0%，超过 70% 高杠杆红线,毛利率数据缺失;净利同比 -5.4%，利润下滑,净利率 21.4%，出色的费用控制或定价权;PE(TTM) 5.1 < 15，估值有一定吸引力,RED（红牌≥2 或综合分<4.5）,1
600017.SH,日照港,航运港口,exclude,0,RED,0.0356,0.201819,0.073494,4.47390687,0.5987279999999999,-0.07562001,-0.24451562,18.655581,0.581737,81.81239342,2.66,-0.37,ROE 仅 3.6%，低于 5% 资本回报红线;净利同比下降 -24.5%，严重恶化,资产负债率 59.9%，超过 50%，杠杆偏高;营收同比 -7.6%，负增长,经营现金流/净利润 4.47，高含金量利润,RED（红牌≥2 或综合分<4.5）,
600018.SH,上港集团,航运港口,watch,5.2,YELLOW,0.09878999999999999,0.361224,0.37750900000000004,0.8701407600000001,0.296768,0.03920891,-0.09293378000000001,8.637307,0.812451,1180.29399755,5.07,-0.59,,ROE 9.9%，低于 10% 良好线;净利同比 -9.3%，利润下滑,净利率 37.8%，出色的费用控制或定价权;资产负债率仅 29.7%，财务结构稳健;PE(TTM) 8.6 < 15，估值有一定吸引力,,
